url,source_page,alt,title,local_file,bytes,error
https://sprayway-tpr.com/vnt_upload/product/03_2024/thumbs/224_LDH_185_2.jpg,https://sprayway-tpr.com/cn/product/544/%E4%B8%8D%E9%94%88%E9%92%A2%E5%BC%BA%E5%8A%9B%E5%89%AA%E5%88%80%20LDH-XS185%2018.5cm.html,,,assets/4fc1de3772cfdbdd.jpg,13461,
https://sprayway-tpr.com/vnt_upload/File/Image/Moi/LDH_XS185_2.jpg,https://sprayway-tpr.com/cn/product/544/%E4%B8%8D%E9%94%88%E9%92%A2%E5%BC%BA%E5%8A%9B%E5%89%AA%E5%88%80%20LDH-XS185%2018.5cm.html,,,assets/7b98a643187c5b35.jpg,979876,
https://sprayway-tpr.com/vnt_upload/File/Image/Moi/LDH_185_2.jpg,https://sprayway-tpr.com/cn/product/544/%E4%B8%8D%E9%94%88%E9%92%A2%E5%BC%BA%E5%8A%9B%E5%89%AA%E5%88%80%20LDH-XS185%2018.5cm.html,,,assets/c923da18044538be.jpg,230155,
https://sprayway-tpr.com/vnt_upload/File/Image/Moi/LDH_185_3.jpg,https://sprayway-tpr.com/cn/product/544/%E4%B8%8D%E9%94%88%E9%92%A2%E5%BC%BA%E5%8A%9B%E5%89%AA%E5%88%80%20LDH-XS185%2018.5cm.html,,,assets/179bc3436e97aea7.jpg,127341,
https://sprayway-tpr.com/vnt_upload/product/01_2025/thumbs/140_SF_120.png,https://sprayway-tpr.com/vn/san-pham/May%20M%E1%BA%B7c-16.html?p=13,SÚNG BẮN TẨY SF-120,SÚNG BẮN TẨY SF-120,assets/c347820a56e22710.png,18079,
https://sprayway-tpr.com/vnt_upload/product/01_2025/thumbs/140_KINGMU_180C.png,https://sprayway-tpr.com/vn/san-pham/May%20M%E1%BA%B7c-16.html?p=14,SÚNG BẮN TẨY KINGMU-180C,SÚNG BẮN TẨY KINGMU-180C,assets/2498ac39eaa8d512.png,19198,
https://sprayway-tpr.com/vnt_upload/product/11_2016/thumbs/224_CL961_Can_New.png,https://sprayway-tpr.com/cn/product/16/961%E5%8F%B7HOIL%E6%B8%97%E9%80%8F%E9%98%B2%E9%94%88%E5%89%82.html,,,assets/efa83ed845ca4f99.png,35963,
https://sprayway-tpr.com/vnt_upload/File/Image/Poster961_web.jpg,https://sprayway-tpr.com/vn/san-pham/16/hoil-penetrating-oil---rust-preventative.html,,,assets/776605d9650d086e.jpg,213273,
https://sprayway-tpr.com/vnt_upload/product/11_2024/thumbs/224_190_chai_xit_khu_mui.png,https://sprayway-tpr.com/cn/product/426/190%E5%8F%B7%E5%BC%82%E5%91%B3%E6%B8%85%E9%99%A4%E5%89%82.html,,,assets/764ea37ea30ceaaa.png,37448,
https://sprayway-tpr.com/vnt_upload/product/09_2016/thumbs/224_SW_003R_Bed_Bug.jpg,https://sprayway-tpr.com/cn/product/480/003%E5%8F%B7%E4%B8%93%E4%B8%9A%E9%99%A4%E8%9E%A8%E8%99%AB%E5%96%B7%E5%89%82.html,,,assets/3529ac99575af4e7.jpg,11225,
https://sprayway-tpr.com/vnt_upload/product/07_2018/thumbs/224_sw715.jpg,https://sprayway-tpr.com/cn/product/57/715%E5%8F%B7%E5%B7%A5%E4%B8%9A%E6%9E%81%E7%99%BD%E9%94%82%E6%B2%B9%E6%B6%A6%E6%BB%91%E5%89%82.html,,,assets/165479b83f1f9755.jpg,10196,
https://sprayway-tpr.com/vnt_upload/product/07_2018/thumbs/224_sw719.jpg,https://sprayway-tpr.com/cn/product/405/719%E5%8F%B7%E5%9E%AB%E5%9C%88%E6%8B%86%E5%8D%B8%E5%89%82.html,,,assets/9354863027273b81.jpg,10813,
https://sprayway-tpr.com/vnt_upload/product/08_2012/thumbs/224_725.jpg,https://sprayway-tpr.com/cn/product/406/725%E5%8F%B7%E5%B7%A5%E4%B8%9A%E7%84%8A%E6%9C%BA%E9%98%B2%E6%BA%85%E5%96%B7%E5%89%82.html,,,assets/5149467a6b28ae8b.jpg,9198,
