id,code,name,brand,category,issue,sourceUrl
563,,Rarosa R4,Rarosa,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/563/rarosa-r4.html
569,TPR-1088,MÁY CẮT CHỈ THÔNG MINH TPR - 1088,TPR,Keo xịt và hóa chất TPR,category_may_be_product_name,https://sprayway-tpr.com/vn/san-pham/569/chaixitustpr031.html
571,TPR-1088,MÁY CẮT CHỈ THÔNG MINH TPR - 1088,TPR,Keo xịt và hóa chất TPR,category_may_be_product_name,https://sprayway-tpr.com/vn/san-pham/571/chaixitus833.html
573,TPR-1088,MÁY CẮT CHỈ THÔNG MINH TPR - 1088,Sprayway,Bình xịt công nghiệp Sprayway,category_may_be_product_name,https://sprayway-tpr.com/vn/san-pham/573/chaixit292.html
574,TPR-1088,MÁY CẮT CHỈ THÔNG MINH TPR - 1088,Sprayway,Bình xịt công nghiệp Sprayway,category_may_be_product_name,https://sprayway-tpr.com/vn/san-pham/574/binh-xit-ve-sinh-lam-sach-bo-mach-dien-sprayway-293.html
576,,Kéo bấm chỉ LDH 211XL,LDH,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/576/ldh211xl.html
577,TPR-1088,MÁY CẮT CHỈ THÔNG MINH TPR - 1088,TPR,Keo xịt và hóa chất TPR,category_may_be_product_name,https://sprayway-tpr.com/vn/san-pham/577/LDH%20XS%20195.html
578,TPR-1088,MÁY CẮT CHỈ THÔNG MINH TPR - 1088,Sprayway,Bình xịt công nghiệp Sprayway,category_may_be_product_name,https://sprayway-tpr.com/vn/san-pham/578/chaixit991.html
579,,Kéo cắt may chống gỉ chất lượng cao LDH S9,LDH,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/579/keoldhs9.html
583,,Ổ MÁY MAY MẪU 1.6 LẦN SMH - 1.6FLTR(D),Sanme,Ổ chao,missing_code,https://sprayway-tpr.com/vn/san-pham/583/o-chao-sanme-smh-1-6fltrd.html
584,,Ổ MÁY 1 KIM ĐIỆN TỬ CHO MÁY LẬP TRÌNH CHO VẢI MỎNG SMH - 6 - 5TR(D),Sanme,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/584/ochao-sanme-6-5trd.html
585,,Ổ CHAO SANME SMH - 6 - 7TR,Sanme,Ổ chao,missing_code,https://sprayway-tpr.com/vn/san-pham/585/ochao-sanme-smh6-7tr.html
586,,Ổ MÁY 1 KIM ĐIỆN TỬ CẮT CHỈ TỰ ĐỘNG SMH - 7.94BTR,Sanme,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/586/o-chao-sanme-7-94btr.html
587,,Ổ MÁY 1 KIM ĐIỆN TỬ CHO MÁY LẬP TRÌNH CHO VẢI DÀY SMH - ATR(1Q) 6 - 7TR,Sanme,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/587/ochao-sanme-smh-atr-6-7tr.html
590,3268I,MÁY CẮT CHỈ JS - 3268I,JS,Vật tư ngành may,weak_description,https://sprayway-tpr.com/vn/san-pham/590/may-cat-chi-js-3268i.html
595,120,SÚNG BẮN TẨY SF - 120,CX ADA,Tẩy vết bẩn ngành may,weak_description,https://sprayway-tpr.com/vn/san-pham/595/sung-ban-tay-sf-120.html
598,,Ổ MÁY 1 KIM ĐIỆN TỬ CHO MÁY LẬP TRÌNH CHO VẢI DÀY SMH - 6 - 7TR(D),Sanme,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/598/o-chao-sanme-smh-6-7trd.html
599,,Ổ MÁY KIM ĐIỆN TỬ CẮT CHỈ TỰ ĐỘNG SMH - 7.94BTR(D),Sanme,Vật tư ngành may,missing_code,https://sprayway-tpr.com/vn/san-pham/599/ochao-sanme-7-94btrd.html
